"question" --> "answer"
"Two trains depart from different cities heading towards each other at the same time. The first train travels at 60 mph and the second at 80 mph. If the cities are 420 miles apart, how long will it take before the two trains meet?" --> "They will meet after 3 hours.",
"An object is dropped from a height of 100 meters. How long does it take to reach the ground?" --> "It takes approximately 4.51 seconds.",
"2 grams of hydrogen reacts with 16 grams of oxygen to form water. How many grams of water will you get?" --> "You will get 18 grams of water.",
"A resistor with a resistance of 5 ohms and a capacitor with a capacitance of 10 microfarads are connected in series to an AC source of 60Hz. What is the impedance of the circuit?" --> "The impedance is approximately 5.03 ohms.",
"A pump is required to lift 500 liters of water per minute from a well 10 meters deep and deliver it with a velocity of 10 m/s. Determine the power required (in watts), assuming no losses in the system. (Take gravitational acceleration \( g = 9.81 \, \text{m/s}^2 \))." --> "The power required is approximately 81.675 kW.",
"If a bacterial colony doubles in size every 20 minutes, how many bacteria will there be after 120 min, starting with a single bacterium?" --> "There will be 64 bacteria after 2 hours.",
"If the distance between the Earth and the Sun is about 93000000 miles, and light travels at approximately 186,282 miles per second, how long does it take for sunlight to reach the Earth?" --> "It takes approximately 8 minutes and 20 seconds."
"If the sum of three consecutive even numbers is 90, what is the largest of these numbers?" --> "The largest number is 32.",
"A 5 kg block is being pulled across a surface with a force of 50 N at an angle of 30 degrees above the horizontal. If the coefficient of kinetic friction between the block and the surface is 0.2, what is the acceleration of the block?" --> "The acceleration is approximately 5.56 m/s^2.",
"Combustion of 1 mole of butane (C4H10) produces 2 moles of water. How many moles of water are produced when 2.5 moles of butane are burned?" --> "5 moles of water are produced.",
"A rectangular beam is subjected to a maximum bending moment of 10 kN·m. If the depth of the beam is twice its breadth and the maximum stress is not to exceed 10 MPa, what should be the dimensions of the cross-section?" --> "Breadth is approximately 0.129 m and Depth is approximately 0.258 m.",
"If the price elasticity of demand for a product is -0.5 and its price increases by 10%, what is the expected percentage change in quantity demanded?" --> "The quantity demanded will decrease by 5%.",
"The human body contains roughly 5 liters of blood. If a person donates 500 ml of blood, what percentage of their total blood have they donated?" --> "They have donated 10% of their total blood."
"A rectangle has an area of 120 square units. If its length is 3 times its width, what are the dimensions of the rectangle?" --> "The width is 6 units and the length is 18 units.",
"A ball is thrown vertically upwards with an initial velocity of 20 m/s. How long will it take to reach its maximum height? (Assume acceleration due to gravity \( g = 9.81 \, \text{m/s}^2 \))." --> "It will take approximately 2.04 seconds.",
"A 0.5 M solution of NaCl contains how many moles of NaCl in 500 ml?" --> "It contains 0.25 moles of NaCl.",
"In a parallel circuit with two resistors, one of 4 ohms and the other of 6 ohms, what is the total resistance?" --> "The total resistance is 2.4 ohms.",
"The density of a certain metal is 8.5 g/cm^3. If a cube of this metal weighs 153 g, what is the side length of the cube?" --> "The side length is 2.4 cm.",
"A company sold 200 units of a product at $50 each last month. If they decrease the price by 10%, but sales increase by 25%, how much revenue do they generate this month?" --> "The revenue is $11250.",
"A plant grows 15 cm in 5 days. How tall will the plant be after 20 days at this rate of growth?" --> "The plant will be 60 cm tall after 20 days."
"A circle has a diameter of 10 cm. What is its area?" --> "The area is approximately 78.54 cm^2.",
"A car travels 180 kilometers in 2 hours. What is its average speed?" --> "The average speed is 90 km/h.",
"If 4 moles of hydrogen gas react with 2 moles of oxygen gas, how many moles of water are formed?" --> "4 moles of water are formed.",
"For a transformer, if the primary coil has 500 turns and the secondary coil has 250 turns, and the input voltage is 220 V, what is the output voltage?" --> "The output voltage is 110 V.",
"A cube has a volume of 64 cm^3. What is the length of one side of the cube?" --> "The side length is 4 cm.",
